	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0000535"	4.00	0.00	10.00	2.00	1.00	3.00	19.00	18.00	13.00	8.00	16.00	21.00
"FBgn0000536"	1600.00	1710.00	1463.00	1096.00	1286.00	1345.00	1099.00	1067.00	886.00	1238.00	1374.00	1224.00
"FBgn0000541"	16717.00	12966.00	12968.00	9341.00	9755.00	12323.00	8767.00	7909.00	6553.00	8221.00	9094.00	8781.00
"FBgn0000542"	151.00	113.00	48.00	165.00	207.00	401.00	1459.00	1734.00	2029.00	1298.00	1724.00	1761.00
"FBgn0000543"	1646.00	1335.00	1049.00	1127.00	1158.00	1298.00	645.00	685.00	750.00	844.00	1085.00	922.00
"FBgn0000546"	3035.00	2420.00	2116.00	2020.00	2236.00	2342.00	2685.00	2478.00	2083.00	2653.00	2760.00	2843.00
"FBgn0000547"	7415.00	5256.00	4978.00	5029.00	5410.00	7048.00	9600.00	9473.00	9448.00	9375.00	11039.00	11082.00
"FBgn0000551"	0.00	2.00	0.00	0.00	1.00	10.00	9.00	5.00	8.00	7.00	4.00	13.00
"FBgn0000552"	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	2.00	0.00	0.00
"FBgn0000557"	13.00	8.00	11.00	4.00	30.00	32.00	91.00	118.00	163.00	85.00	91.00	132.00
"FBgn0000559"	102460.00	90963.00	82029.00	86824.00	103568.00	110778.00	125955.00	139088.00	136460.00	135635.00	173639.00	161032.00
"FBgn0000560"	0.00	1.00	0.00	2.00	3.00	3.00	2.00	0.00	1.00	7.00	6.00	6.00
"FBgn0000562"	4100.00	3199.00	2739.00	2973.00	2914.00	3507.00	439.00	261.00	162.00	978.00	959.00	688.00
"FBgn0000564"	2.00	2.00	1.00	0.00	0.00	0.00	2.00	2.00	0.00	2.00	0.00	2.00
"FBgn0000565"	599.00	655.00	521.00	515.00	623.00	600.00	543.00	683.00	836.00	427.00	772.00	506.00
"FBgn0000566"	2652.00	2539.00	2212.00	2309.00	2708.00	2817.00	2618.00	2895.00	2832.00	3295.00	4149.00	3617.00
"FBgn0000567"	3.00	6.00	3.00	6.00	6.00	25.00	15.00	2.00	3.00	24.00	11.00	15.00
"FBgn0000568"	1054.00	758.00	683.00	1264.00	1067.00	1134.00	151.00	177.00	157.00	503.00	545.00	409.00
"FBgn0000575"	1252.00	1167.00	1092.00	1010.00	1438.00	1799.00	2449.00	3140.00	3833.00	3082.00	4426.00	3894.00
"FBgn0000576"	29.00	25.00	20.00	43.00	126.00	133.00	351.00	525.00	512.00	399.00	534.00	506.00
"FBgn0000577"	53.00	53.00	24.00	76.00	116.00	212.00	267.00	364.00	528.00	490.00	710.00	550.00
"FBgn0000578"	2641.00	1912.00	1752.00	1915.00	2155.00	2616.00	3558.00	3617.00	4050.00	3546.00	4255.00	4178.00
