	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0064237"	0.31	0.26	0.85	0.00	0.00	0.48	0.50	0.39	0.68	0.36	0.16	0.23
"FBgn0064766"	40.89	37.77	37.20	33.35	30.71	37.21	12.21	10.38	10.15	19.75	17.07	16.60
"FBgn0064912"	0.00	0.00	0.08	0.00	0.07	0.07	0.07	0.06	0.00	0.20	0.10	0.00
"FBgn0065032"	0.14	0.29	1.99	1.81	0.58	2.97	1.36	2.77	1.00	3.50	3.22	3.23
"FBgn0065035"	36.62	50.74	51.39	28.87	32.97	35.92	58.93	56.27	60.48	42.87	45.11	44.78
"FBgn0065046"	5.24	15.74	11.88	7.92	4.82	5.19	11.55	4.97	14.88	5.15	16.55	0.00
"FBgn0065047"	13.50	6.79	2.55	3.38	14.58	6.73	0.00	2.14	2.13	2.22	8.88	3.62
"FBgn0065048"	13.50	6.79	2.55	3.38	14.58	6.73	0.00	2.14	2.13	2.22	8.88	3.62
"FBgn0065051"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0065053"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
