	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0079372"	1711.00	1782.00	1384.00	2142.00	2116.00	1843.00	739.00	818.00	777.00	2220.00	1666.00	1938.00	2034.00	2206.00	2359.00
"FBtr0082330"	36.44	15.87	8.12	15.44	8.97	15.38	3.42	4.65	10.72	16.49	15.69	23.78	0.00	0.00	34.82
"FBtr0082331"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339378"	0.00	0.00	4.33	0.00	4.08	0.00	0.00	0.00	0.00	0.00	0.00	4.01	0.00	0.00	0.00
"FBtr0339379"	115.56	156.13	144.55	170.56	160.95	139.62	32.58	24.35	37.28	199.51	211.31	239.20	225.00	259.00	229.18
"FBtr0071744"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0114516"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081777"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081775"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0273255"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113344"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113345"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303151"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0334766"	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0113346"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085122"	58.96	20.28	49.74	117.97	81.94	52.91	6.00	0.00	0.00	75.95	55.78	35.97	88.24	59.32	52.10
"FBtr0085123"	126.54	171.28	109.22	228.31	197.00	265.48	0.00	5.00	6.00	171.06	147.53	185.58	141.60	196.53	187.68
"FBtr0333327"	6.50	18.44	17.04	14.72	59.07	31.61	0.00	0.00	0.00	12.99	6.69	13.45	17.16	25.15	28.21
"FBtr0076735"	493.00	452.00	357.00	617.00	640.00	646.00	297.00	344.00	326.00	589.00	750.00	717.00	547.00	494.00	485.00
"FBtr0077022"	2.00	0.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
"FBtr0333582"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077060"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346074"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
